Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
929,Joshua Karty,0,K,0,169.98,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
930,Jase McClellan,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
931,Javon Baker,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
932,Brenden Rice,0,WR,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
933,Anthony Gould,0,WR,0,170,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
934,Bub Means,0,WR,,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
935,Casey Washington,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
936,Jawhar Jordan,0,RB,0,170.14,0.16,0.01,ACTIVE,,,,,,,,,,,,,,
937,Cornelius Johnson,0,WR,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
938,Ainias Smith,CAR,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
939,Devin Culp,0,TE,0,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
940,Jha'Quan Jackson,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
941,Keilan Robinson,0,RB,,169.99,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
942,Tahj Washington,0,WR,0,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
943,Tejhaun Palmer,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
944,Jaheim Bell,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
945,Jordan Travis,0,QB,,169.98,0.03,0.01,,,,,,,,,,,,,,,
946,Devin Leary,0,QB,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
947,Michael Pratt,0,QB,,169.97,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
948,Tanner McLachlan,0,TE,,169.99,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
949,Louis Rees-Zammit,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
950,Dante Miller,0,RB,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
951,Blake Watson,0,RB,,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
952,John Stephens Jr.,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
953,Dallin Holker,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
954,Carson Steele,0,RB,,169.98,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
955,Michael Wiley,0,RB,,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
956,Bryce Ford-Wheaton,0,WR,,169.99,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
957,Ramel Keyton,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
958,Tyreik McAllister,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
959,Brayden Narveson,0,K,,169.98,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
960,Brenden Bates,0,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
961,Cody Schrader,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
962,Thomas Odukoya,0,TE,,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
963,Sincere McCormick,0,RB,,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
964,Zane Gonzalez,0,K,0,169.98,0.12,0.06,QUESTIONABLE,,,,,,,,,,,,,,
965,Terrell Jennings,0,RB,,169.98,0.03,0.01,QUESTIONABLE,,,,,,,,,,,,,,
966,Aaron Shampklin,0,RB,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
967,Parker Romo,0,K,,169.97,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
968,Alex Bachman,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
969,Bryce Oliver,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
970,Kaden Davis,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
971,D.J. Williams,0,RB,,169.97,0.02,0.02,QUESTIONABLE,,,,,,,,,,,,,,
972,Joshua Cephus,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
973,Kendall Milton,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
974,Carlos Washington Jr.,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
975,Cam Grandy,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
976,Jalen Moreno-Cropper,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
977,Jaylen Johnson,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
978,Frank Gore Jr.,0,RB,,169.98,0.07,0.01,ACTIVE,,,,,,,,,,,,,,
979,Baylor Cupp,0,TE,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
980,Jack Westover,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
981,Anthony Miller,0,WR,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
982,John Samuel Shenker,0,TE,,169.97,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
983,Jacob Kibodi,0,RB,,169.96,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
984,Jermaine Jackson,0,WR,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
985,Jude McAtamney,0,K,,169.97,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
986,John Ross,0,WR,,169.97,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
987,Jaydon Blue,0,RB,0,170.47,2.63,0.17,ACTIVE,,,,,,,,,,,,,,
988,Jarquez Hunter,0,RB,,169.99,0.07,0.01,ACTIVE,,,,,,,,,,,,,,
989,Tommy Mellott,0,WR,,169.96,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
990,Kalel Mullings,0,RB,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
991,Phil Mafah,0,RB,0,170.02,0.13,0.01,ACTIVE,,,,,,,,,,,,,,
992,Luke Lachey,GB,TE,,169.95,0.04,0.02,ACTIVE,,,,,,,,,,,,,,
993,Cam Miller,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
994,Ricky White III,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
995,Kaden Prather,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
996,Damien Martinez,0,RB,,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
997,Dominic Lovett,0,WR,,169.99,0.03,0,ACTIVE,,,,,,,,,,,,,,
998,Junior Bergen,0,WR,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
999,Nick Nash,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1000,Isaiah Neyor,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1001,Donovan Edwards,0,RB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
1002,Caden Davis,0,K,,169.94,0.08,0.04,ACTIVE,,,,,,,,,,,,,,
1003,Theo Wease Jr.,0,WR,0,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
1004,Chandler Brayboy,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1005,Lan Larison,0,RB,,169.99,0.03,0,ACTIVE,,,,,,,,,,,,,,
1006,Ja'Corey Brooks,0,WR,,169.96,0.03,0.02,QUESTIONABLE,,,,,,,,,,,,,,
1007,Nathan Carter,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1008,Gage Larvadain,0,WR,0,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
1009,Josh Williams,0,RB,0,169.96,0.11,0.02,ACTIVE,,,,,,,,,,,,,,
1010,Zavier Scott,0,RB,0,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
1011,Charlie Smyth,0,K,0,170,0.87,0.56,ACTIVE,,,,,,,,,,,,,,
1012,Brady Cook,MIA,QB,0,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
1013,Sal Cannella,0,TE,,169.92,0.07,0.05,ACTIVE,,,,,,,,,,,,,,
1014,Jakobie Keeney-James,0,WR,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
1015,Dalen Cambre,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
1016,CJ Dippre,0,TE,0,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
1017,Kedon Slovis,0,QB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1018,Zaire Mitchell-Paden,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1019,Philip Rivers,IND,QB,,169.8,0.38,0.07,ACTIVE,,,,,,,,,,,,,,
1020,Hayden Rucci,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1021,Amar Johnson,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
1022,Quentin Skinner,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1023,Jacoby Jones,WSH,WR,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
1024,Zach Horton,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1025,Jacardia Wright,0,RB,,169.99,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
1026,Ben Sauls,NYG,K,0,169.82,0.24,0.15,ACTIVE,,,,,,,,,,,,,,
1027,Ulysses Bentley IV,0,RB,,169.98,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
1028,Drake Dabney,0,TE,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
1029,Brennan Presley,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
1030,Adrian Martinez,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
1031,Justin Joly,MIA,TE,0,169.97,0.08,0.01,ACTIVE,,,,,,,,,,,,,,
1032,Lewis Bond,0,WR,0,169.99,0.03,0,ACTIVE,,,,,,,,,,,,,,
1033,Anthony Smith,0,WR,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
1034,Emmanuel Henderson Jr.,0,WR,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
1035,Michael Trigg,0,TE,,169.98,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
