Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
728,Zach Ertz,0,TE,,169.98,0.11,0.02,QUESTIONABLE,,,,,,,,,,,,,,
729,Justin Tucker,0,K,,169.68,0.49,0.3,ACTIVE,,,,,,,,,,,,,,
730,Brandin Cooks,0,WR,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
731,Jimmy Garoppolo,LAR,QB,,169.97,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
732,Robert Woods,0,WR,,170,0.01,0,,,,,,,,,,,,,,,
733,Brandon McManus,0,K,0,169.95,0.12,0.07,ACTIVE,,,,,,,,,,,,,,
734,Adam Thielen,PIT,WR,,169.99,0.04,0.01,,,,,,,,,,,,,,,
735,Teddy Bridgewater,DET,QB,0,169.97,0.06,0.01,ACTIVE,,,,,,,,,,,,,,
736,Dustin Hopkins,0,K,,169.98,0.05,0.04,ACTIVE,,,,,,,,,,,,,,
737,Greg Zuerlein,0,K,,169.98,0.06,0.04,QUESTIONABLE,,,,,,,,,,,,,,
738,Russell Wilson,0,QB,,169.96,0.07,0.01,ACTIVE,,,,,,,,,,,,,,
739,Matt Prater,0,K,,169.95,0.13,0.09,ACTIVE,,,,,,,,,,,,,,
740,Josh Johnson,0,QB,0,169.98,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
741,Graham Gano,0,K,0,169.99,0.06,0.05,QUESTIONABLE,,,,,,,,,,,,,,
742,Tyree Jackson,0,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
743,Steven Sims,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
744,Deonte Harty,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
745,D'Ernest Johnson,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
746,Stephen Carlson,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
747,Khari Blasingame,0,RB,,169.99,0.01,0.01,ACTIVE,,,,,,,,,,,,,,
748,Jakob Johnson,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
749,Pharaoh Brown,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
750,Craig Reynolds,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
751,Tom Kennedy,0,WR,,169.98,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
752,Trenton Irwin,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
753,Donald Parham Jr.,0,TE,,170,0,0,ACTIVE,,,,,,,,,,,,,,
754,Clyde Edwards-Helaire,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
755,Cam Akers,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
756,Jalen Reagor,0,WR,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
757,Ke'Shawn Vaughn,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
758,Zack Moss,0,RB,,169.99,0.02,0,QUESTIONABLE,,,,,,,,,,,,,,
759,Darrynton Evans,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
760,Joshua Kelley,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
761,Antonio Gibson,0,RB,,169.98,0.03,0.01,QUESTIONABLE,,,,,,,,,,,,,,
762,Laviska Shenault Jr.,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
763,Tyler Johnson,0,WR,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
764,DeeJay Dallas,0,RB,0,170,0.07,0.01,ACTIVE,,,,,,,,,,,,,,
765,Van Jefferson,0,WR,0,169.97,0.05,0.02,ACTIVE,,,,,,,,,,,,,,
766,Josiah Deguara,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
767,Harrison Bryant,0,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
768,Albert Okwuegbunam Jr.,0,TE,,169.98,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
769,Gabe Davis,0,WR,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
770,Quez Watkins,0,WR,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
771,Collin Johnson,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
772,K.J. Osborn,0,WR,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
773,James Proche II,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
774,Stephen Sullivan,0,TE,,170,0,0,ACTIVE,,,,,,,,,,,,,,
775,Isaiah Hodgins,0,WR,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
776,Marquez Callaway,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
777,JaMycal Hasty,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
778,J.J. Taylor,0,RB,,169.96,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
779,Salvon Ahmed,0,RB,,169.99,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
780,John Wolford,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
781,Sean McKeon,IND,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
782,Trishton Jackson,0,WR,,170,0,0,,,,,,,,,,,,,,,
783,Dan Chisena,0,WR,,169.99,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
784,Nick Westbrook-Ikhine,0,WR,0,169.99,0.11,0.02,ACTIVE,,,,,,,,,,,,,,
785,Jonathan Ward,0,RB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
786,Tony Jones Jr.,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
787,Lawrence Cager,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
788,Tony Brown,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
789,Kristian Wilkerson,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
790,Matthew Wright,0,K,,169.98,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
791,Michael Carter,0,RB,,169.99,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
792,Kadarius Toney,0,WR,,169.97,0.07,0.02,ACTIVE,,,,,,,,,,,,,,
793,Terrace Marshall Jr.,0,WR,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
794,Dee Eskridge,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
795,Kyle Trask,0,QB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
796,Dez Fitzpatrick,0,WR,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
797,Elijah Mitchell,0,RB,,169.99,0.02,0,QUESTIONABLE,,,,,,,,,,,,,,
798,Gary Brightwell,0,RB,,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
799,Jaelon Darden,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
800,Khalil Herbert,0,RB,,169.98,0.03,0.01,ACTIVE,,,,,,,,,,,,,,
801,Brevin Jordan,0,TE,,170,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
802,Ihmir Smith-Marsette,0,WR,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
803,Avery Williams,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
804,Zach Davidson,0,TE,,170,0,0,ACTIVE,,,,,,,,,,,,,,
805,Jaret Patterson,0,RB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
806,Kenny Yeboah,0,TE,,169.99,0.01,0,QUESTIONABLE,,,,,,,,,,,,,,
807,Jody Fortson,0,TE,,170,0,0,ACTIVE,,,,,,,,,,,,,,
808,Cody White,0,WR,,169.99,0.03,0,ACTIVE,,,,,,,,,,,,,,
809,Parker Hesse,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
810,Mitchell Wilcox,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
811,Giovanni Ricci,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
812,Jack Stoll,0,TE,0,169.99,0.02,0.01,QUESTIONABLE,,,,,,,,,,,,,,
813,Shane Zylstra,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
814,Michael Bandy,0,WR,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
815,Patrick Taylor Jr.,0,RB,,169.99,0.02,0.01,QUESTIONABLE,,,,,,,,,,,,,,
816,Mason Kinsey,0,WR,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
817,Tyler Mabry,0,TE,,170,0,0,QUESTIONABLE,,,,,,,,,,,,,,
818,Cody Thompson,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
819,Velus Jones Jr.,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
820,Dameon Pierce,0,RB,,169.99,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
821,Cade York,0,K,0,169.98,0.06,0.03,ACTIVE,,,,,,,,,,,,,,
822,Hassan Haskins,0,RB,,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
823,Zamir White,0,RB,,169.98,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
824,Desmond Ridder,0,QB,0,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
825,Tyrion Davis-Price,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
