Pick,Rank,Player,Pos,NFC ADP($),Consensus,Value,ESPN,Value,Sleeper,Value,Yahoo,Value
6.10,64,Chris Olave,WR,65.6,69.7,4.0,75,9.4,70,4.4,64,-1.6
10.04,65,Emeka Egbuka,WR,66.5,113.7,47.1,112,45.5,106,39.5,123,56.5
5.10,66,David Montgomery,RB,67.1,59.0,-8.1,70,2.9,56,-11.1,51,-16.1
8.12,67,Ricky Pearsall,WR,67.9,98.0,30.1,99,31.1,102,34.1,93,25.1
5.06,68,Sam LaPorta,TE,68.9,55.0,-13.9,61,-7.9,49,-19.9,55,-13.9
6.07,69,Travis Hunter,WR,69.3,66.7,-2.7,66,-3.3,64,-5.3,70,0.7
7.08,70,Jakobi Meyers,WR,71.1,82.3,11.2,74,2.9,82,10.9,91,19.9
6.12,71,Kaleb Johnson,RB,71.6,70.3,-1.2,71,-0.6,81,9.4,59,-12.6
7.12,72,Stefon Diggs,WR,72.3,85.0,12.7,77,4.7,89,16.7,89,16.7
6.09,73,Isiah Pacheco,RB,73.2,68.7,-4.6,81,7.8,63,-10.2,62,-11.2
8.10,74,Deebo Samuel,WR,74.3,97.0,22.7,98,23.7,86,11.7,107,32.7
5.12,75,Patrick Mahomes,QB,75.7,62.3,-13.4,62,-13.7,57,-18.7,68,-7.7
7.03,76,Tony Pollard,RB,75.9,71.7,-4.2,80,4.1,77,1.1,58,-17.9
7.05,77,Jordan Addison,WR,76.7,75.3,-1.3,79,2.3,72,-4.7,75,-1.7
6.08,78,Aaron Jones,RB,77.2,67.7,-9.5,68,-9.2,69,-8.2,66,-11.2
7.04,79,Chris Godwin,WR,77.4,75.3,-2.0,73,-4.4,79,1.6,74,-3.4
8.06,80,Jauan Jennings,WR,80.4,93.0,12.6,97,16.6,95,14.6,87,6.6
9.01,81,Matthew Golden,WR,83.7,100.7,17.0,78,-5.7,98,14.3,126,42.3
7.06,82,Travis Kelce,TE,84.8,78.3,-6.4,83,-1.8,66,-18.8,86,1.2
6.04,83,T.J. Hockenson,TE,85.3,66.0,-19.3,69,-16.3,58,-27.3,71,-14.3
7.10,84,Brian Robinson,RB,85.6,83.7,-1.9,91,5.4,84,-1.6,76,-9.6
8.09,85,Jayden Reed,WR,86.0,94.3,8.3,102,16.0,99,13.0,82,-4.0
9.05,86,Josh Downs,WR,87.5,104.3,16.9,109,21.5,101,13.5,103,15.5
7.07,87,Mark Andrews,TE,88.9,81.0,-7.9,85,-3.9,78,-10.9,80,-8.9
5.09,88,Joe Mixon,RB,89.0,58.7,-30.3,51,-38.0,52,-37.0,73,-16.0
8.08,89,Cooper Kupp,WR,89.3,93.3,4.0,76,-13.3,88,-1.3,116,26.7
9.06,90,Jordan Mason,RB,89.6,104.7,15.1,120,30.4,110,20.4,84,-5.6
7.09,91,Tyrone Tracy,RB,90.3,83.3,-7.0,82,-8.3,85,-5.3,83,-7.3
8.04,92,Khalil Shakir,WR,91.6,91.7,0.0,96,4.4,83,-8.6,96,4.4
8.01,93,Jaylen Warren,RB,93.3,86.3,-7.0,90,-3.3,92,-1.3,77,-16.3
6.11,94,Baker Mayfield,QB,93.9,69.7,-24.2,63,-30.9,68,-25.9,78,-15.9
9.09,95,Travis Etienne,RB,95.7,106.3,10.6,115,19.3,94,-1.7,110,14.3
8.02,96,Evan Engram,TE,96.1,89.3,-6.8,86,-10.1,87,-9.1,95,-1.1
10.06,97,Keon Coleman,WR,97.0,115.3,18.4,100,3.1,119,22.1,127,30.1
9.08,98,J.K. Dobbins,RB,97.7,105.0,7.3,95,-2.7,118,20.3,102,4.3
10.02,99,Michael Pittman,WR,98.3,109.7,11.4,101,2.7,116,17.7,112,13.7
10.07,100,Zach Charbonnet,RB,98.8,116.3,17.6,133,34.2,111,12.2,105,6.2
