"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"153",7,"Dalton Schultz",HOU,"TE20","8","4 out of 5","2 out of 5","4 out of 5 stars","+29"
"154",7,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"155",7,"Daniel Jones",IND,"QB25","13","4 out of 5","4 out of 5","4 out of 5 stars","+20"
"156",7,"Brian Robinson Jr.",ATL,"RB54","11","1 out of 5","4 out of 5","2 out of 5 stars","-9"
"157",7,"MarShawn Lloyd",GB,"RB55","11","4 out of 5","4 out of 5","4 out of 5 stars","+8"
"158",7,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"159",7,"Adonai Mitchell",NYJ,"WR59","13","4 out of 5","4 out of 5","4 out of 5 stars","+75"
"160",7,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+46"
"161",7,"Tre Tucker",LV,"WR60","13","4 out of 5","2 out of 5","2 out of 5 stars","+58"
"162",7,"Jauan Jennings",MIN,"WR61","6","2 out of 5","4 out of 5","5 out of 5 stars","+17"
"163",7,"Mike Washington Jr.",LV,"RB57","13","4 out of 5","4 out of 5","2 out of 5 stars","-35"
"164",7,"Jerry Jeudy",CLE,"WR62","11","2 out of 5","4 out of 5","3 out of 5 stars","+58"
"165",7,"Jalen McMillan",TB,"WR63","10","4 out of 5","4 out of 5","4 out of 5 stars","+20"
"166",7,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+61"
"167",7,"AJ Barner",SEA,"TE21","11","4 out of 5","3 out of 5","3 out of 5 stars","+21"
"168",7,"Tre' Harris",LAC,"WR64","7","4 out of 5","3 out of 5","2 out of 5 stars","+56"
"169",7,"Dontayvion Wicks",PHI,"WR65","10","4 out of 5","4 out of 5","4 out of 5 stars","+56"
"170",7,"T.J. Hockenson",MIN,"TE22","6","3 out of 5","4 out of 5","4 out of 5 stars","+3"
"171",8,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","0"
"172",8,"Terrance Ferguson",LAR,"TE23","11","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"173",8,"Kayshon Boutte",HOU,"WR66","8","2 out of 5","4 out of 5","3 out of 5 stars","+47"
"174",8,"Emmett Johnson",KC,"RB59","5","4 out of 5","4 out of 5","3 out of 5 stars","+44"
"175",8,"Jalen Nailor",LV,"WR67","13","-","-","2 out of 5 stars","-12"
"176",8,"Pat Bryant",DEN,"WR68","10","3 out of 5","3 out of 5","2 out of 5 stars","+64"
"177",8,"Omar Cooper Jr.",NYJ,"WR69","13","4 out of 5","4 out of 5","4 out of 5 stars","+44"
"178",8,"Ryan Flournoy",DAL,"WR70","14","4 out of 5","2 out of 5","2 out of 5 stars","+87"
"179",8,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","-10"
"180",8,"Malik Washington",MIA,"WR71","6","3 out of 5","4 out of 5","3 out of 5 stars","+32"
"181",8,"Jacoby Brissett",ARI,"QB27","14","3 out of 5","4 out of 5","2 out of 5 stars","+50"
"182",8,"Keenan Allen",IND,"WR72","13","3 out of 5","3 out of 5","4 out of 5 stars","-6"
"183",8,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+65"
"184",8,"Calvin Ridley",TEN,"WR73","9","2 out of 5","4 out of 5","3 out of 5 stars","+42"
"185",8,"Sean Tucker",TB,"RB61","10","4 out of 5","4 out of 5","2 out of 5 stars","+62"
"186",8,"Kenyon Sadiq",NYJ,"TE25","13","3 out of 5","4 out of 5","4 out of 5 stars","-9"
"187",8,"Tank Dell",HOU,"WR74","8","4 out of 5","4 out of 5","3 out of 5 stars","+27"
"188",8,"Nicholas Singleton",TEN,"RB62","9","3 out of 5","4 out of 5","3 out of 5 stars","+40"
"189",8,"Gunnar Helm",TEN,"TE26","9","3 out of 5","3 out of 5","3 out of 5 stars","+62"
"190",8,"Travis Hunter",JAC,"WR75","7","3 out of 5","4 out of 5","4 out of 5 stars","-6"
"191",8,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-77"
"192",8,"Jaylin Noel",HOU,"WR76","8","4 out of 5","3 out of 5","3 out of 5 stars","+114"
"193",8,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+43"
"194",8,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-70"
