Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
120.0,Caleb Williams,QB,286.07,288.30,-2.23
122.7,Dallas Goedert,TE,108.95,114.30,-5.35
124.7,Zach Charbonnet,RB,133.55,130.40,3.15
127.7,Drake Maye,QB,265.07,275.70,-10.63
127.7,Michael Pittman,WR,130.30,151.70,-21.40
127.7,Josh Downs,WR,131.20,138.30,-7.10
128.3,Kyle Pitts,TE,97.30,114.70,-17.40
128.7,Jake Ferguson,TE,108.55,116.70,-8.15
129.7,CJ Stroud,QB,254.62,280.40,-25.78
131.3,Tank Bigsby,RB,90.50,110.10,-19.60
133.3,Keon Coleman,WR,127.15,144.70,-17.55
135.0,Jordan Love,QB,258.62,278.30,-19.68
136.7,Jonnu Smith,TE,96.10,98.50,-2.40
140.0,JJ McCarthy,QB,271.52,292.60,-21.08
144.7,Austin Ekeler,RB,136.00,146.30,-10.30
145.0,Najee Harris,RB,118.40,108.10,10.30
145.3,Nick Chubb,RB,82.10,94.50,-12.40
147.3,Brandon Aiyuk,WR,107.00,100.30,6.70
151.3,Jayden Higgins,WR,124.15,115.00,9.15
152.3,Keenan Allen,WR,100.30,119.60,-19.30
153.0,Rashid Shaheed,WR,130.85,146.40,-15.55
154.0,Darnell Mooney,WR,121.30,138.70,-17.40
155.3,Cam Ward,QB,257.24,254.70,2.54
155.7,Jacory CroskeyMerritt,RB,113.40,136.50,-23.10
156.0,Tyjae Spears,RB,111.20,114.50,-3.30
156.7,Hunter Henry,TE,104.90,107.30,-2.40
157.0,Jaydon Blue,RB,111.40,94.20,17.20
160.3,Adam Thielen,WR,105.55,121.70,-16.15
161.7,Rachaad White,RB,101.10,116.00,-14.90
162.7,Zach Ertz,TE,98.40,113.00,-14.60
167.0,Trey Benson,RB,109.80,97.30,12.50
167.3,Braelon Allen,RB,79.30,84.60,-5.30
168.7,Michael Penix,QB,232.82,263.30,-30.48
169.3,Luther Burden,WR,110.20,101.10,9.10
171.5,Tre Harris,WR,110.60,94.30,16.30
171.5,Elijah Arroyo,TE,88.00,78.50,9.50
172.3,Isaac Guerendo,RB,53.50,47.80,5.70
173.5,DeAndre Hopkins,WR,71.80,80.60,-8.80
174.0,Tua Tagovailoa,QB,231.62,262.30,-30.68
174.0,Marvin Mims,WR,112.85,133.20,-20.35
174.5,Kareem Hunt,RB,80.70,78.40,2.30
174.7,Shedeur Sanders,QB,22.80,37.00,-14.20
175.3,Rashod Bateman,WR,107.55,124.60,-17.05
176.0,Kyle Williams,WR,84.40,79.90,4.50
176.3,Trevor Lawrence,QB,262.52,275.50,-12.98
176.3,Matthew Stafford,QB,257.00,262.00,-5.00
177.3,Bryce Young,QB,239.72,262.70,-22.98
177.3,Bhayshul Tuten,RB,94.50,79.70,14.80
177.5,Dylan Sampson,RB,88.60,95.70,-7.10
177.5,Jalen McMillan,WR,48.20,45.90,2.30
178.0,Jerome Ford,RB,94.70,110.50,-15.80
178.3,Marquise Brown,WR,112.05,122.50,-10.45
180.3,Aaron Rodgers,QB,226.12,236.90,-10.78
180.3,Christian Kirk,WR,101.20,113.70,-12.50
